feature,importance
TEXTBLOB_POLARITY,0.001405949356822923
LSTM_POLARITY,0.0016866555382542303
sentiment_avg,0.0027361687962412437
VOLATILITY_30D,0.009451794410590972
VOLATILITY_10D,0.027543917542591154
volume_log,0.02942224228373682
7_DAY_RETURN,0.035024117454067985
3_DAY_RETURN,0.07949390403496297
return_volatility,0.14770049989644982
2_DAY_RETURN,0.6655347506862819
